symbol
CPB
DIA
EFX
EWP
GOOGL
HYG
IWM
IYR
JPM
MSFT
MU
NVDA
SAP
SHY
SPY
TLT
TSLA
UUP
VIXY
VXX
WMT
XLE
XLF
XLK
XLV
XOM
