symbol
AAPL
BA
CLX
DIA
DIS
EEM
EFX
EWP
GLD
GOOGL
HYG
INTC
IWM
IYR
JPM
KO
MSFT
SAP
SHY
SPY
TLT
UUP
WMT
XLE
XLF
XLK
XLV
XOM
